timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/24 06:52:05.936, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.20 W
2026/09/24 06:52:06.136, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.20 W
2026/09/24 06:52:06.337, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.20 W
2026/09/24 06:52:06.537, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.20 W
2026/09/24 06:52:06.737, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.20 W
2026/09/24 06:52:06.937, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.28 W
2026/09/24 06:52:07.138, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.28 W
2026/09/24 06:52:07.338, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.28 W
2026/09/24 06:52:07.538, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.28 W
2026/09/24 06:52:07.739, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.28 W
2026/09/24 06:52:07.939, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.29 W
2026/09/24 06:52:08.139, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.29 W
2026/09/24 06:52:08.339, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.29 W
2026/09/24 06:52:08.540, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.29 W
2026/09/24 06:52:08.740, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.29 W
2026/09/24 06:52:08.940, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.41 W
2026/09/24 06:52:09.140, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.41 W
2026/09/24 06:52:09.341, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.41 W
2026/09/24 06:52:09.541, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.41 W
2026/09/24 06:52:09.741, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.41 W
2026/09/24 06:52:09.941, 0 %, 0 %, 46897 MiB, 49140 MiB, 64.39 W
2026/09/24 06:52:10.142, 0 %, 0 %, 46897 MiB, 49140 MiB, 64.39 W
2026/09/24 06:52:10.342, 0 %, 0 %, 46897 MiB, 49140 MiB, 64.39 W
2026/09/24 06:52:10.542, 0 %, 0 %, 46897 MiB, 49140 MiB, 64.39 W
